"","Switch.Name","Manufacturer","Type","Push.Feel","Wobble","Sound","Total"
"35","Gateron Vermilion Bird","Gateron","Linear",30,17,8,55
"36","Gateron Box Ink Pink","Gateron","Linear",29,19,7,55
"37","Gateron Box Ink Black","Gateron","Linear",29,18,8,55
"38","Hoshizora","Durock/JWK","Linear",29,21,5,55
"39","Zeal Clickiez 75g. (Tactile)","Gateron","Tactile",28,20,7,55
"40","RAMA WORKS Duck","Gateron","Linear",29,20,6,55
"41","JWICK Ginger Milk","Durock/JWK","Linear",28,21,6,55
"42","EMT V2","Haimu","Linear",29,18,8,55
"43","JWICK Semi Silent","Durock/JWK","Silent Linear",28,19,8,55
"44","Cookies n' Cream","KTT","Tactile",28,22,5,55
"45","Kailh Box Navy","Kailh","Clicky",29,16,9,54
"46","Naevy V1.5","Tecsee","Tactile",29,17,8,54
"47","Tecsee Sapphire","Tecsee","Tactile",30,17,7,54
"48","Meow Claw V2","Huano","Linear",27,21,6,54
"49","Akko CS Starfish","KTT","Linear",29,20,5,54
"50","Zealio V1 Redux (62g)","Gateron","Tactile",29,19,6,54
"51","Wuque Studio Onion","Durock/JWK","Linear",30,18,6,54
"52","Invokeys Blueberry Chiffon","Aflion","Tactile",28,20,6,54
"53","Gateron Cream Soda","Gateron","Linear",29,18,7,54
"54","MODE Tomorrow","Outemu","Tactile",28,20,6,54
"55","Novelkeys Cream Clickie","Kailh","Clicky",31,15,8,54
"56","Kailh Box Jade","Kailh","Clicky",28,16,9,53
"57","Akko CS Rose Red","KTT","Linear",29,19,5,53
"58","KTT Matcha","KTT","Tactile",28,20,5,53
"59","Momoka Frog V3","Momoka","Linear",28,19,6,53
"60","Amethyst","Tecsee","Tactile",28,18,7,53
"61","Tecsee Sapphire V2","Tecsee","Tactile",30,15,8,53
"62","Ajazz x Huano Banana","Huano","Tactile",30,16,7,53
"63","Gateron CJ","Gateron","Linear",29,19,5,53
"64","Akko CS Sponge","KTT","Tactile",27,20,6,53
"65","Obsidian Pro","Durock/JWK","Linear",30,16,7,53
"66","Kingfishers","Tecsee","Linear",28,18,7,53
"67","Momoka Shark","Momoka","Tactile",29,18,6,53
"68","Tecsee Ice Milk Tactile","Tecsee","Tactile",29,18,6,53
